"name" "long" "lat"
"159" "Pitt St & Stanton St" -73.98178024 40.71926081
"160" "W 63 St & Broadway" -73.98261428 40.77163851
"161" "E 48 St & 3 Ave" -73.971878855 40.7546011026
"162" "LaGuardia Pl & W 3 St" -73.99810231 40.72917025
"163" "Montrose Ave & Bushwick Ave" -73.94016171 40.70767788
"164" "Willoughby Ave & Hall St" -73.96536851 40.69196035
"165" "Grand Army Plaza & Central Park S" -73.97371465 40.7643971
"166" "Lexington Ave & E 24 St" -73.98409214 40.74025878
"167" "E 11 St & Broadway" -73.99158043 40.73261787
"168" "Broadway & W 53 St" -73.98268129 40.76344058
"169" "Columbia St & Rivington St" -73.98016555 40.71739973
"170" "Canal St & Rutgers St" -73.98990025 40.71427487
"171" "Shevchenko Pl & E 7 St" -73.990214 40.728145
"172" "Avenue D & E 12 St" -73.97422494 40.72580614
"173" "S 5 Pl & S 4 St" -73.960876 40.710451
"174" "Pier 40 - Hudson River Park" -74.011295735836 40.7277140777778
"175" "St James Pl & Oliver St" -73.99851193 40.71307916
"176" "Tompkins Ave & Hopkins St" -73.94708417 40.69957608
"177" "1 Ave & E 78 St" -73.9535166 40.77140426
"178" "E 33 St & 2 Ave" -73.976056 40.744023
"179" "E 72 St & York Ave" -73.95348296 40.76663814
"180" "Division Ave & Hooper St" -73.95441667 40.70691254
"181" "Brooklyn Bridge Park - Pier 2" -73.99712 40.69878
"182" "W 20 St & 8 Ave" -74.00004031 40.74345335
"183" "E 24 St & Park Ave S" -73.98602213 40.74096374
"184" "Forsyth St & Canal St" -73.99422366 40.7158155
"185" "W 26 St & 10 Ave" -74.002950346 40.749717753
"186" "W 16 St & The High Line" -74.00681753 40.74334935
"187" "Berry St & N 8 St" -73.95852515 40.7190095
"188" "Broadway & W 41 St" -73.98658032 40.75513557
"189" "Sullivan St & Washington Sq" -73.99906065 40.73047747
"190" "W 43 St & 10 Ave" -73.99461843 40.76009437
"191" "Lawrence St & Willoughby St" -73.98631746 40.69236178
"192" "Rivington St & Chrystie St" -73.9919254 40.72110063
"193" "Throop Ave & Myrtle Ave" -73.94371094 40.69622937
"194" "W 27 St & 10 Ave" -74.0021842718124 40.7501815632568
"195" "W 42 St & 8 Ave" -73.99098507 40.7575699
"196" "9 Ave & W 28 St" -73.9992338418961 40.7493702419328
"197" "Hancock St & Bedford Ave" -73.95399026 40.68216564
